id,completiontime,pagesubmitp,pagesubmit1,pagesubmit2,pagesubmit3,pagesubmit4,submissiontime,agenum,gender,gencond,condition,decision1,decision2,decision3,decision4,risktaking,posout,posfeel,negout,negfeel,recipient,experiencedemotions,interaction,gloomy,eggplant,nyc,attentioncheck,validity,excluded,submissiontimestat,code,zre_1,zre_2,recipient_mc,experiencedemotions_mc
3,561,101.81,83.658,76.535,94.852,59.255,416.11,57,1,5,1,0,0,0,1,1,1,0,5,5,0,0,0,1,1,1,1,1,0,1,Gary30025,-0.694646658848829,-0.69464665884883,0,0
14,1440,177.874,356.129,224.6,222.925,282.302,1263.83,23,1,5,1,0,1,0,1,2,4,4,5,4,0,0,0,1,1,1,1,1,0,1,AsdfBB123,0.027021436478553,0.027021436478553,0,0
17,1719,591.739,147.911,117.532,152.32,131.928,1141.43,27,1,5,1,1,1,1,1,4,5,6,2,1,0,0,0,1,1,1,1,1,0,1,EJIDF589,1.23382866543106,1.23382866543106,0,0
34,1783,197.57,393.643,314.783,452.108,275.491,1633.595,25,1,5,1,1,1,1,1,4,5,4,2,1,0,0,0,1,1,1,1,1,0,1,fgh56lop9,1.23382866543106,1.23382866543106,0,0
42,690,74.381,154.848,110.912,84.575,102.875,527.591,31,1,5,1,1,0,1,1,3,5,5,4,3,0,0,0,1,1,1,1,1,0,1,asefe125,0.748689531805936,0.748689531805936,0,0
54,621,59.536,161.193,77.786,85.714,75.873,460.102,38,1,5,1,0,0,0,0,0,5,5,1,1,0,0,0,1,1,1,1,1,0,1,ABQ4JY52NC,-2.5989595626875,-2.5989595626875,0,0
60,471,94.964,89.13,89.025,50.795,51.599,375.513,35,1,5,1,1,1,1,1,4,3,4,1,1,0,0,0,1,1,1,1,1,0,1,92104ABC42,1.23382866543106,1.23382866543106,0,0
62,748,152.503,133.274,106.993,137.662,89.511,619.943,38,1,5,1,1,1,0,0,2,3,4,5,5,0,0,0,1,1,1,1,1,0,1,f3avclubt,0.263550398180811,0.263550398180811,0,0
66,1070,199.169,228.342,186.869,173.111,137.503,924.994,36,1,5,1,1,1,1,1,4,3,3,5,5,0,0,0,1,1,1,1,1,0,1,49935715A,2.17994451224009,2.17994451224009,0,0
69,1157,114.489,243.059,172.693,205.61,181.049,916.9,38,1,5,1,0,0,0,0,0,1,2,6,5,0,0,0,1,1,1,1,1,0,1,oak95rdge,-1.65284371587847,-1.65284371587847,0,0
103,1556,412.593,403.466,263.728,124.877,172.568,1377.232,49,1,5,1,1,1,0,0,2,3,4,3,3,0,0,0,1,1,1,1,1,0,1,a1s2d3f4g5,-0.209507525223705,-0.209507525223705,0,0
105,1417,116.038,315.309,306.674,256.028,220.27,1214.319,33,1,5,1,1,1,1,1,4,4,4,0,0,0,0,0,1,1,1,1,1,0,1,A98754320,0.997299703728802,0.99729970372880306,0,0
106,909,197.83,145.113,78.624,89.775,118.558,629.9,26,1,5,1,1,1,1,1,4,4,4,1,1,0,0,0,1,1,1,1,1,0,1,RJ142596,1.23382866543106,1.23382866543106,0,0
110,643,116.222,108.858,79.114,70.701,54.99,429.885,35,1,5,1,1,1,1,1,4,5,1,5,1,0,0,0,1,1,1,1,1,0,1,J2021PBJ,1.23382866543106,1.23382866543106,0,0
128,2673,1143.368,439.397,224.461,211.91,119.568,2138.704,40,1,5,1,1,1,1,0,3,5,6,2,1,0,0,0,1,1,1,1,1,0,1,NUMBER12PA,0.27563160840142,0.27563160840142,0,0
129,921,92.594,88.834,100.581,94.399,97.621,474.029,37,1,5,1,0,1,1,1,3,5,5,2,2,0,0,0,1,1,1,1,1,0,1,eN2718pi,0.512160570103678,0.512160570103678,0,0
138,2213,1218.663,128.809,176.447,188.371,285.765,1998.055,33,1,5,1,1,1,1,1,4,6,5,1,2,0,0,0,1,1,1,1,1,0,1,Aim184641,1.47035762713332,1.47035762713332,0,0
163,628,62.066,115.985,92.909,108.768,90.574,470.302,22,1,5,1,1,1,0,1,3,4,3,3,2,0,0,0,1,1,1,1,1,0,1,52353098a,0.512160570103678,0.512160570103678,0,0
181,508,54.753,74.1,162.152,84.122,45.741,420.868,26,1,5,1,1,1,1,1,4,4,4,2,2,0,0,0,1,1,1,1,1,0,1,MA142594,1.47035762713332,1.47035762713332,0,0
193,679,140.974,99.724,87.374,97.175,135.156,560.403,28,1,5,1,1,1,1,1,4,4,4,1,1,0,0,0,1,1,1,1,1,0,1,oneface1,1.23382866543106,1.23382866543106,0,0
194,2093,106.795,90.202,180.953,65.606,1535.978,1979.534,27,1,5,1,1,1,0,0,2,3,3,2,3,0,0,0,1,1,1,1,1,0,1,2738hj38,-0.209507525223705,-0.209507525223705,0,0
196,1786,406.181,344.057,219.874,264.186,381.388,1615.686,49,1,5,1,1,1,1,1,4,5,5,1,1,0,0,0,1,1,1,1,1,0,1,w23e4r5t6,1.23382866543106,1.23382866543106,0,0
206,677,152.933,108.205,86.454,92.324,102.646,542.562,30,1,5,1,1,0,1,1,3,3,3,3,4,0,0,0,1,1,1,1,1,0,1,a1b2c3jtjt,0.985218493508194,0.985218493508194,0,0
213,849,233.769,106.507,124.013,115.323,115.29,694.902,18,1,5,1,1,0,1,1,3,2,2,4,4,0,0,0,1,1,1,1,1,0,1,regenald01,0.985218493508194,0.985218493508194,0,0
